metric_type,sensor_type,px,py,vx,vy,ro,phi,ro_dot
prediction,none,0.362243,0.630340,1.000000,1.000000,0,0,0
update,radar,0.362243,0.630340,1.000000,1.000000,0.727013,1.049204,1.365288
prediction,none,1.167861,0.757524,7.107009,1.312864,0,0,0
prediction,none,1.673310,0.528441,9.541760,-0.006111,0,0,0
update,radar,1.673310,0.528441,9.541759,-0.006111,1.754769,0.305894,9.096972
prediction,none,1.272956,0.663154,4.515409,2.532624,0,0,0
prediction,none,1.596399,0.762810,4.816007,2.121984,0,0,0
update,radar,1.596399,0.762810,4.816007,2.121984,1.769285,0.445756,5.260283
prediction,none,1.976963,0.675651,5.301550,1.178577,0,0,0
prediction,none,2.288169,0.723639,5.406968,1.054135,0,0,0
update,radar,2.288169,0.723639,5.406968,1.054135,2.399869,0.306300,5.473161
prediction,none,2.529593,0.726807,5.237527,0.846112,0,0,0
prediction,none,2.818465,0.754477,5.292923,0.767386,0,0,0
update,radar,2.818465,0.754476,5.292923,0.767386,2.917701,0.261558,5.311337
prediction,none,3.103347,0.732858,5.305495,0.536329,0,0,0
prediction,none,3.354049,0.744884,5.283793,0.496364,0,0,0
update,radar,3.354048,0.744884,5.283793,0.496363,3.435767,0.218538,5.265733
prediction,none,3.656858,0.655225,5.340503,0.105602,0,0,0
prediction,none,3.978381,0.577405,5.452643,-0.172434,0,0,0
update,radar,3.978381,0.577405,5.452643,-0.172434,4.020063,0.144129,5.371340
prediction,none,4.259252,0.598390,5.477919,-0.081440,0,0,0
prediction,none,4.542868,0.587815,5.495336,-0.102603,0,0,0
update,radar,4.542869,0.587815,5.495336,-0.102603,4.580740,0.128678,5.436736
prediction,none,4.790828,0.606661,5.334138,-0.043420,0,0,0
prediction,none,4.970251,0.697596,5.174719,0.232642,0,0,0
update,radar,4.970251,0.697596,5.174719,0.232642,5.018967,0.139443,5.156826
prediction,none,5.216139,0.688014,5.036676,0.157885,0,0,0
prediction,none,5.523114,0.676256,5.131245,0.099638,0,0,0
update,radar,5.523114,0.676256,5.131245,0.099638,5.564361,0.121835,5.105318
prediction,none,5.792134,0.683604,5.268531,0.117975,0,0,0
prediction,none,6.095856,0.691767,5.335176,0.122148,0,0,0
update,radar,6.095856,0.691767,5.335176,0.122148,6.134982,0.112998,5.314925
prediction,none,6.327701,0.622851,5.137880,-0.093614,0,0,0
prediction,none,6.579297,0.726539,5.115164,0.195297,0,0,0
update,radar,6.579298,0.726539,5.115164,0.195297,6.619291,0.109982,5.105695
prediction,none,6.826748,0.757440,5.063002,0.248186,0,0,0
prediction,none,7.073006,0.755775,5.053194,0.211674,0,0,0
update,radar,7.073007,0.755775,5.053194,0.211674,7.113271,0.106449,5.047081
prediction,none,7.306143,0.735766,4.880702,0.118798,0,0,0
prediction,none,7.515045,0.825335,4.813117,0.336249,0,0,0
update,radar,7.515045,0.825335,4.813117,0.336249,7.560230,0.109386,4.821058
prediction,none,7.832824,0.839076,5.158957,0.346262,0,0,0
prediction,none,8.088683,0.812607,5.160043,0.234821,0,0,0
update,radar,8.088683,0.812607,5.160043,0.234821,8.129399,0.100126,5.157671
prediction,none,8.327454,0.828345,4.978868,0.232338,0,0,0
prediction,none,8.562001,0.846334,4.954307,0.249253,0,0,0
update,radar,8.562001,0.846334,4.954308,0.249253,8.603728,0.098528,4.954799
prediction,none,8.849380,0.949585,5.232486,0.497549,0,0,0
prediction,none,9.090369,1.015224,5.194460,0.600731,0,0,0
update,radar,9.090368,1.015224,5.194460,0.600731,9.146883,0.111220,5.229042
prediction,none,9.385228,1.054248,5.243085,0.619941,0,0,0
prediction,none,9.624487,1.086274,5.204877,0.624131,0,0,0
update,radar,9.624487,1.086274,5.204877,0.624131,9.685595,0.112390,5.242037
